tblUploadID,tblHaulID,Ship,Gear,HaulNo,StationNumber,Year,Month,Day,Time,ShootLat,ShootLong,HaulLat,HaulLong,ICESrectangle,Depth,Survey,ICESDatabase,Notes
8247,4691,"90MZ","LBT",6,"3",1969,3,21,"0510",55.2833,17.6166,,,"39G7",86,"","N",""
8247,4692,"90MZ","LBT",8,"3",1969,3,18,"0700",55.75,19.5833,,,"40G9",95,"","N",""
8247,4693,"90MZ","LBT",7,"4",1969,4,22,"0650",55.2166,17.25,,,"39G7",90,"","N",""
8247,4694,"90MZ","LBT",14,"9",1969,12,22,"0940",55.4166,18.5833,,,"39G8",82,"","N",""
8247,4695,"90MZ","LBT",15,"9",1969,12,22,"1220",55.4166,18.4499,,,"39G8",90,"","N",""
8247,4696,"90MZ","LBT",16,"9",1969,12,23,"0750",55.25,17.0833,,,"39G7",85,"","N",""
8247,4697,"90MZ","LBT",18,"9",1969,12,23,"1215",55.1833,17.4166,,,"39G7",90,"","N",""
8247,4698,"90MZ","LBT",12,"17",1969,6,20,"1345",55.1499,19.4499,,,"39G9",103,"","N",""
8247,4699,"90MZ","LBT",13,"17",1969,6,21,"0700",55.25,17.2666,,,"39G7",89,"","N",""
8247,4700,"90MZ","LBT",16,"17",1969,6,22,"0740",54.9833,15.8,,,"38G5",77,"","N",""
8247,4701,"90MZ","LBT",1,"1",1969,1,8,"0710",57.4666,21.1,,,"43H1",70,"","N",""
8247,4702,"90MZ","LBT",14,"1",1969,1,19,"0720",57.2,21.05,,,"43H1",26,"","N",""
8247,4703,"90MZ","LBT",30,"1",1969,1,24,"1225",57.5,21.1,,,"44H1",78,"","N",""
8247,4704,"90MZ","LBT",1,"3",1969,3,15,"1700",56.6,20.6333,,,"42H0",48,"","N",""
8247,4705,"90MZ","LBT",3,"3",1969,3,20,"1230",55.9333,18.75,,,"40G8",110,"","N",""
8247,4706,"90MZ","LBT",4,"3",1969,3,20,"1523",55.6833,18.55,,,"40G8",100,"","N",""
8247,4707,"90MZ","LBT",5,"3",1969,3,21,"0323",55.25,17.4666,,,"39G7",90,"","N",""
8248,4708,"LA99","LBT",14,"8",1969,10,12,"0900",56.5833,20.4166,,,"42H0",70,"","N",""
8248,4709,"LA99","LBT",22,"8",1969,10,15,"0900",55.25,17.4166,,,"39G7",95,"","N",""
8248,4710,"LA99","LBT",23,"8",1969,10,15,"1100",55.25,17.0833,,,"39G7",95,"","N",""
8248,4711,"LA99","LBT",25,"8",1969,10,16,"0900",55.25,20.25,,,"39H0",50,"","N",""
8248,4712,"LA99","LBT",26,"8",1969,10,17,"0700",55.25,20.0833,,,"39H0",70,"","N",""
8248,4713,"LA99","LBT",29,"8",1969,10,17,"0900",55.75,20.4166,,,"40H0",60,"","N",""
8249,4714,"LABS","LBT",3,"5",1969,5,22,"1425",56.2166,19.4833,,,"41G9",100,"","N",""
8249,4715,"LABS","LBT",5,"5",1969,5,23,"0840",55.9166,18.8666,,,"40G8",123,"","N",""
8249,4716,"LABS","LBT",7,"5",1969,5,24,"0400",55.2999,17.3166,,,"39G7",85,"","N",""
8249,4717,"LABS","LBT",8,"5",1969,5,24,"1010",55.0833,15.9833,,,"39G5",90,"","N",""
8249,4718,"LABS","LBT",9,"5",1969,5,24,"1400",54.8333,15.7166,,,"38G5",80,"","N",""
8249,4719,"LABS","LBT",11,"5",1969,5,25,"0710",55.1833,19.3999,,,"39G9",103,"","N",""
8249,4720,"LABS","LBT",14,"5",1969,5,26,"0945",56.0499,19.25,,,"41G9",112,"","N",""
8249,4721,"LABS","LBT",5,"7",1969,9,14,"1720",56.6,20.5666,,,"42H0",56,"","N",""
8249,4722,"LABS","LBT",9,"7",1969,9,15,"1500",56.3999,20.1,,,"41H0",84,"","N",""
8250,4723,"90MZ","LBT",7,"8",1970,5,12,"1235",55.2,15.9,,,"39G5",90,"","N",""
8250,4724,"90MZ","LBT",8,"8",1970,5,24,"0510",55.2999,17.5,,,"39G7",82,"","N",""
8250,4725,"90MZ","LBT",1,"9",1970,6,6,"0520",55.3666,15.6,,,"39G5",94,"","N",""
8250,4726,"90MZ","LBT",10,"9",1970,6,8,"0950",55.4833,18.5333,,,"39G8",87,"","N",""
8250,4727,"90MZ","LBT",17,"9",1970,6,10,"0905",56.2666,19.3833,,,"41G9",130,"","N",""
8250,4728,"90MZ","LBT",2,"10",1970,11,16,"1200",57.3666,21.25,,,"43H1",45,"","N",""
8250,4729,"90MZ","LBT",3,"10",1970,11,17,"0640",56.6499,20.6499,,,"42H0",55,"","N",""
8250,4730,"90MZ","LBT",4,"10",1970,11,17,"1130",56.6666,20.7333,,,"42H0",38,"","N",""
8250,4731,"90MZ","LBT",5,"10",1970,11,18,"0715",55.7166,20.4666,,,"40H0",49,"","N",""
8250,4732,"90MZ","LBT",6,"10",1970,11,18,"1215",55.7333,20.1166,,,"40H0",68,"","N",""
8250,4733,"90MZ","LBT",26,"10",1970,11,24,"0630",57.1333,20.5833,,,"43H0",94,"","N",""
8250,4734,"90MZ","LBT",7,"11",1970,12,9,"0750",58,21.2666,,,"45H1",60,"","N",""
8250,4735,"90MZ","LBT",16,"11",1970,12,11,"1330",57.4666,21.1,,,"43H1",70,"","N",""
8250,4736,"90MZ","LBT",30,"11",1970,12,18,"1025",55.3833,18.5666,,,"39G8",82,"","N",""
8250,4737,"90MZ","LBT",43,"11",1970,12,24,"0950",57.0666,20.5666,,,"43H0",90,"","N",""
8250,4738,"90MZ","LBT",13,"1",1970,1,14,"0900",56.6333,20.5833,,,"42H0",60,"","N",""
8250,4739,"90MZ","LBT",31,"1",1970,1,19,"0940",55.25,17.4833,,,"39G7",82,"","N",""
8250,4740,"90MZ","LBT",37,"1",1970,1,19,"1100",54.8999,15.8666,,,"38G5",70,"","N",""
8250,4742,"90MZ","LBT",9,"6",1970,3,19,"0500",56.1166,19.1999,,,"41G9",123,"","N",""
8250,4743,"90MZ","LBT",30,"6",1970,3,25,"0720",55.25,17.4666,,,"39G7",86,"","N",""
8250,4744,"90MZ","LBT",32,"6",1970,3,26,"0445",55.0666,15.7166,,,"39G5",90,"","N",""
8250,4745,"90MZ","LBT",34,"6",1970,3,26,"0955",54.7666,15.8,,,"38G5",70,"","N",""
8250,4746,"90MZ","LBT",35,"6",1970,3,26,"1235",54.7,15.8,,,"38G5",60,"","N",""
8250,4747,"90MZ","LBT",5,"7",1970,4,9,"1015",57.2999,21,,,"43H1",60,"","N",""
8250,4748,"90MZ","LBT",22,"7",1970,4,23,"0500",55.2666,16.1333,,,"39G6",89,"","N",""
8250,4749,"90MZ","LBT",23,"7",1970,4,23,"0825",54.9333,15.9166,,,"38G5",80,"","N",""
8250,4750,"90MZ","LBT",6,"8",1970,5,12,"0800",54.9166,15.8166,,,"38G5",80,"","N",""
8251,4751,"LA99","LBT",2,"3",1970,2,9,"0900",57.25,20.5833,,,"43H0",85,"","N",""
8251,4752,"LA99","LBT",3,"3",1970,2,9,"1100",57.0833,20.5833,,,"43H0",95,"","N",""
8251,4753,"LA99","LBT",1,"4",1970,2,24,"1100",56.25,19.4166,,,"41G9",110,"","N",""
8252,4754,"LABS","LBT",2,"2",1970,1,24,"0900",56.4166,20.0833,,,"41H0",100,"","N",""
8252,4755,"LABS","LBT",3,"2",1970,1,24,"1100",56.4166,20.0833,,,"41H0",100,"","N",""
8252,4756,"LABS","LBT",4,"2",1970,1,26,"0900",54.9166,19.5833,,,"38G9",74,"","N",""
8252,4757,"LABS","LBT",5,"2",1970,1,26,"1100",54.9166,19.5833,,,"38G9",74,"","N",""
8252,4758,"LABS","LBT",6,"2",1970,1,27,"0900",54.5833,19.4166,,,"38G9",88,"","N",""
8252,4759,"LABS","LBT",9,"2",1970,1,29,"1000",55.0833,15.75,,,"39G5",88,"","N",""
8252,4760,"LABS","LBT",10,"2",1970,1,29,"1200",55.0833,15.5833,,,"39G5",80,"","N",""
8252,4761,"LABS","LBT",6,"5",1970,3,12,"1300",56.25,19.4666,,,"41G9",115,"","N",""
8252,4762,"LABS","LBT",7,"5",1970,3,12,"1700",56.1666,19.4333,,,"41G9",107,"","N",""
8252,4763,"LABS","LBT",10,"5",1970,3,13,"1000",55.9166,18.8333,,,"40G8",124,"","N",""
8252,4764,"LABS","LBT",11,"5",1970,3,13,"1205",55.9666,19.0333,,,"40G9",130,"","N",""
8252,4765,"LABS","LBT",12,"5",1970,3,13,"1600",55.8666,18.8999,,,"40G8",120,"","N",""
8252,4766,"LABS","LBT",13,"5",1970,3,13,"2000",55.8666,18.8,,,"40G8",120,"","N",""
8252,4767,"LABS","LBT",14,"5",1970,3,14,"0400",55.8666,18.8333,,,"40G8",120,"","N",""
8252,4768,"LABS","LBT",15,"5",1970,3,14,"0800",55.9166,18.8333,,,"40G8",120,"","N",""
8252,4769,"LABS","LBT",16,"5",1970,3,14,"1200",55.8833,18.8333,,,"40G8",122,"","N",""
8253,4770,"90MZ","LBT",19,"4",1971,6,9,"1000",55.3166,16.8999,,,"39G6",70,"","N",""
8253,4771,"90MZ","LBT",20,"4",1971,6,9,"1200",55.3666,16.9833,,,"39G6",70,"","N",""
8253,4772,"90MZ","LBT",21,"4",1971,6,10,"0600",55.25,18.4833,,,"39G8",80,"","N",""
8253,4773,"90MZ","LBT",33,"4",1971,6,16,"1430",54.6166,15.1333,,,"38G5",50,"","N",""
8253,4774,"90MZ","LBT",34,"4",1971,6,17,"0530",55.75,14.75,,,"40G4",33,"","N",""
